Chr	Gene_ID	Product description	Gene Identification	MIS	MFS	# of insertions in CDS	# of nor malized reads (raw)	Note*	# of TTAA in CDS	TTAA density in CDS	transcript length	geneStart	endStart	gene strand	Ortholog count	Paralog count	NonSyn/Syn SNP Ratio	GO Processes	GO Functions	GO Components		
chr1	PF3D7_0114100	Pfmc-2TM Maurer's cleft two transmembrane protein	Mutable in CDS	1	0.315	6	327.78		11	15.94	690	547652	548435	-	10	12	6.8	translocation of peptides or proteins into host	N/A	"Maurer's cleft, integral component of membrane, symbiont-containing vacuole membrane"		
chr1	PF3D7_0114200	exported protein family 3	Mutable in CDS	1	-1.199	1	4.62		8	7.66	1044	550631	551768	-	5	9	5.46	N/A	N/A	Maurer's cleft		
chr1	PF3D7_0114300	"exported protein family 4, pseudogene"	Non - Mutable in CDS	0.476	-3.206	0	1.14		9	9.38	960	552695	553852	+	8	12	9	N/A	N/A	N/A		
chr1	PF3D7_0114400	"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"	Non - Mutable in CDS	0.782	-2.196	0	3.56		9	8	1125	554112	555242	-	204	98	5	N/A	N/A	N/A		
chr1	PF3D7_0114500	"Plasmodium exported protein (hyp10), unknown function"	Non - Mutable in CDS	0.184	-1.528	1	20.84		8	24.02	333	558256	558763	-	12	1	0	N/A	N/A	N/A		
chr1	PF3D7_0114600	"stevor, pseudogene"	Non - Mutable in CDS	0.199	-2.528	0	6.54		11	11.71	939	560529	561589	-	102	40	2.67	N/A	N/A	N/A		
chr1	PF3D7_0114700	rifin	Non - Mutable in CDS	0.987	-2.356	0	1.17	tentative	6	6.17	972	563758	564897	-	597	183	2.15	antigenic variation	N/A	host cell plasma membrane		
chr1	PF3D7_0114800	"Plasmodium exported protein (hyp7), unknown function"	Non - Mutable in CDS	0.119	-3.122	0	5.57		10	15.8	633	569541	570328	-	9	4	15	N/A	N/A	N/A		
chr1	PF3D7_0114900	"Plasmodium exported protein, unknown function, pseudogene"	Non - Mutable in CDS	0.982	-2.415	0	1.13	tentative	4	6.32	633	572191	572910	-	9	4	2.4	N/A	N/A	N/A		
chr1	PF3D7_0115000	surface-associated interspersed protein 1.3 (SURFIN 1.3)	Mutable in CDS	0.999	-2.039	1	40.54		60	10.38	5778	577760	583845	+	318	9	4.47	N/A	N/A	N/A		
chr1	PF3D7_0115100	"Plasmodium exported protein (PHISTa), unknown function"	Mutable in CDS	0.338	-1.693	1	22.52		18	20.41	882	587447	588450	+	80	46	5	N/A	N/A	N/A		
chr1	PF3D7_0115200	rifin	Non - Mutable in CDS	0.754	-2.168	0	0.93		9	8.13	1107	591905	593243	+	597	183	5.36	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr1	PF3D7_0115300	rifin	Non - Mutable in CDS	1	0	0	0	tentative	2	1.98	1011	595158	596329	+	597	183	6.9	antigenic variation	N/A	host cell plasma membrane		
chr1	PF3D7_0115400	stevor	Mutable in CDS	1	-2.412	1	1.78		9	9.93	906	598521	599528	+	102	40	5.3	modulation by symbiont of host erythrocyte aggregation	N/A	Maurer's cleft		
chr1	PF3D7_0115500	"erythrocyte membrane protein 1 (PfEMP1), pseudogene"	Non - Mutable in CDS	0.816	-2.37	0	4.39		9	7.83	1149	600895	602048	+	204	98	5.76	N/A	N/A	N/A		
chr1	PF3D7_0115600	rifin	Non - Mutable in CDS	0.936	-2.159	0	3.24		8	7.02	1140	604218	605587	+	597	183	5.78	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr2	PF3D7_0200100	"erythrocyte membrane protein 1, PfEMP1"	Mutable in CDS	1	-2.061	1	15.86		32	6.23	5136	25232	31168	+	204	98	4.43	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, single organismal cell-cell adhesion"	"cell adhesion molecule binding, host cell surface receptor binding"	"host cell plasma membrane, infected host cell surface knob"		
chr2	PF3D7_0200200	rifin	Non - Mutable in CDS	0.565	-2.598	0	4		9	8.96	1005	33030	34259	-	597	183	6.65	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr2	PF3D7_0200300	"erythrocyte membrane protein 1 (PfEMP1), exon 2"	Non - Mutable in CDS	0.864	-2.259	0	0.79		10	7.56	1323	35927	37249	-	204	98	3.11	N/A	N/A	N/A		
chr2	PF3D7_0200400	stevor	Mutable in CDS	1	-1.003	1	5.61		7	7.65	915	38287	39303	-	102	40	4.28	modulation by symbiont of host erythrocyte aggregation	N/A	Maurer's cleft		
chr2	PF3D7_0200500	rifin	Non - Mutable in CDS	0.561	-2.232	0	2.89		10	8.98	1113	41515	42858	-	597	183	5.23	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr2	PF3D7_0200600	rifin	Non - Mutable in CDS	0.408	-2.486	0	4.87		11	9.75	1128	45286	46558	-	597	183	7.48	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr2	PF3D7_0200700	rifin	Non - Mutable in CDS	0.243	-2.818	0	3.31		11	11.08	993	48923	50147	-	597	183	4.72	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr2	PF3D7_0200800	"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"	Non - Mutable in CDS	0.687	-2.03	0	3.32		9	8.43	1068	51842	53124	-	204	98	4.39	N/A	N/A	N/A		
chr2	PF3D7_0200900	"stevor, pseudogene"	Non - Mutable in CDS	0.357	-2.467	0	4.27		9	10.07	894	54254	55255	-	102	40	6.19	N/A	N/A	Maurer's cleft		
chr2	PF3D7_0201000	rifin	Non - Mutable in CDS	0.438	-2.425	0	3.39		9	9.58	939	57344	58421	-	597	183	5.42	antigenic variation	N/A	host cell plasma membrane		
chr2	PF3D7_0201100	"Plasmodium exported protein, unknown function, fragment"	Non - Mutable in CDS	0.128	0	0	0	tentative	3	14.08	213	60107	60319	-	80	46	6.2	N/A	N/A	N/A		
chr2	PF3D7_0201200	rifin	Mutable in CDS	1	0.778	2	195.08		12	11.2	1071	63157	64376	+	597	183	4.08	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr2	PF3D7_0201300	stevor	Non - Mutable in CDS	0.853	-2.121	0	1.83		7	7.63	918	66529	67545	+	102	40	4.81	modulation by symbiont of host erythrocyte aggregation	N/A	Maurer's cleft		
chr2	PF3D7_0201400	"Plasmodium exported protein (hyp10), unknown function"	Non - Mutable in CDS	0.673	-2.309	0	2.53	tentative	4	8.49	471	69088	69771	+	12	1	3.33	N/A	N/A	host cell part		
chr2	PF3D7_0201500	"Plasmodium exported protein (hyp9), unknown function"	Mutable in CDS	0.196	-2.845	1	17.78		18	23.53	765	73441	74396	-	10	4	8	N/A	N/A	N/A		
chr2	PF3D7_0201600	PHISTb domain-containing RESA-like protein 1	Mutable in CDS	1	-2.037	2	40.77		19	13.03	1458	77251	78808	-	49	20	6.31	"cytoadherence to microvasculature, mediated by symbiont protein"	N/A	"host cell cytosol, host cell surface"		
chr2	PF3D7_0201700	"DnaJ protein, putative"	Non - Mutable in CDS	0.214	-2.696	0	17.8		31	11.47	2703	81291	84165	-	17	7	8	N/A	N/A	host cell part		
chr2	PF3D7_0201800	knob associated heat shock protein 40	Mutable in CDS	1	-2.465	1	6.45		12	9.48	1266	86832	88791	-	33	3	5	N/A	N/A	infected host cell surface knob		
chr2	PF3D7_0201900	erythrocyte membrane protein 3	Mutable in CDS	1	-0.927	21	1353.61		140	19.11	7326	91318	98838	-	2	0	2.23	N/A	protein binding	"Maurer's cleft, cytoplasm, symbiont-containing vacuole"		
chr2	PF3D7_0202000	knob-associated histidine-rich protein	Non - Mutable in CDS	1	-1.359	0	6.4	tentative	7	3.56	1965	103385	105796	-	30	1	3.15	N/A	protein binding	"Maurer's cleft, cytoplasm, infected host cell surface knob"		
chr2	PF3D7_0202100	liver stage associated protein 2	Mutable in CDS	0.383	-2.163	1	38.72		18	19.8	909	109564	110580	-	2	0	11.5	N/A	N/A	N/A		
chr2	PF3D7_0202200	EMP1-trafficking protein	Mutable in CDS	0.65	-3.049	1	9.77		15	17.18	873	112547	113682	-	2	0	4	N/A	N/A	"Maurer's cleft, integral component of membrane, protein complex"		
chr2	PF3D7_0202300	"Plasmodium exported protein (hyp11), unknown function"	Non - Mutable in CDS	0.121	-2.952	0	4.68		12	14.93	804	117225	118235	+	18	2	0	N/A	N/A	N/A		
chr2	PF3D7_0202400	"gamete antigen 27/25, putative"	Mutable in CDS	1	-2.252	1	14.51		26	7.26	3579	120524	124102	+	2	0	6.47	N/A	N/A	N/A		
chr2	PF3D7_0202500	early transcribed membrane protein 2	Non - Mutable in CDS	1	0	0	0	tentative	1	3.12	321	127994	128314	+	14	1	2	N/A	N/A	symbiont-containing vacuole membrane		
chr2	PF3D7_0202600.1	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.377	-2.621	0	18.07		40	9.94	4026	129342	133563	-	19	1	6.85	N/A	N/A	N/A		
chr2	PF3D7_0202700	octaprenyl pyrophosphate synthase	Non - Mutable in CDS	0.144	-3.162	0	15.71		30	18.55	1617	135523	137139	+	18	0	1.45	carotenoid biosynthetic process	"phytoene synthase activity, prenyltransferase activity"	mitochondrion		
chr2	PF3D7_0202800	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.725	-2.454	0	2.84	tentative	3	8.26	363	137557	138389	-	17	0	3	N/A	N/A	N/A		
chr2	PF3D7_0202900	"palmitoyltransferase DHHC12, putative"	Non - Mutable in CDS	0.995	-2.624	0	0.42	tentative	5	5.79	864	138927	141192	+	11	0	2.17	protein palmitoylation	palmitoyltransferase activity	N/A		
chr2	PF3D7_0203000	"repetitive organellar protein, putative"	Mutable in CDS	1	-1.887	8	299.55		114	19.19	5940	141625	147564	-	120	8	2.63	N/A	N/A	rhoptry		
chr2	PF3D7_0203100	"protein kinase, putative"	Mutable in CDS	1	-1.603	14	286.01		100	13.41	7458	149524	156981	-	5	0	3.56	protein phosphorylation	protein serine/threonine kinase activity	N/A		
chr2	PF3D7_0203200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.971	-2.198	0	4.37	tentative	10	6.56	1524	158137	159660	-	18	0	4	N/A	N/A	N/A		
chr2	PF3D7_0203300	"ERCC1 nucleotide excision repair protein, putative"	Non - Mutable in CDS	0.156	-3.229	0	9.12		14	19.2	729	160514	161242	+	18	0	2.67	nucleotide-excision repair	"damaged DNA binding, endodeoxyribonuclease activity"	N/A		
chr2	PF3D7_0203400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.998	-2.427	1	1.92		3	10.87	276	162065	162900	-	18	0	0	N/A	N/A	N/A		
chr2	PF3D7_0203600	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.81	-1.784	1	63.34		30	15.72	1908	166144	168051	+	18	0	4.83	N/A	N/A	N/A		
chr2	PF3D7_0203700	"protein MAK16, putative"	Non - Mutable in CDS	0.391	-2.522	0	7.91		13	9.85	1320	168682	170136	-	18	0	4.13	ribosomal large subunit biogenesis	N/A	"nucleolus, preribosome, large subunit precursor"		
chr2	PF3D7_0203800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.195	2	127.75		23	14.12	1629	171563	174912	-	19	0	0.88	N/A	N/A	N/A		
chr2	PF3D7_0203900	"5'-3' exonuclease, N-terminal resolvase-like domain, putative"	Non - Mutable in CDS	0.315	-2.642	0	6.65		18	10.38	1734	176567	178300	+	18	0	3.57	N/A	"5'-3' exonuclease activity, DNA binding"	apicoplast		
chr2	PF3D7_0204000	"condensin-2 complex subunit H2, putative"	Mutable in CDS	1	-2.227	2	27.77		28	11.7	2394	178955	181526	+	18	0	2.06	N/A	N/A	N/A		
chr2	PF3D7_0204100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.146	-2.863	0	62.7		90	13.07	6888	182228	189115	-	18	0	6.07	N/A	N/A	N/A		
chr2	PF3D7_0204200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.689	-2.589	0	5.06		7	8.42	831	192818	194199	+	18	0	0.5	N/A	N/A	apicoplast		
chr2	PF3D7_0204300	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.318	2	42.34		31	14.83	2091	194826	196916	-	18	0	3.06	N/A	N/A	N/A		
chr2	PF3D7_0204400	"dynein light chain, putative"	Non - Mutable in CDS	0.987	0	0	0	tentative	2	6.17	324	197219	198043	-	17	0	1	N/A	N/A	N/A		
chr2	PF3D7_0204500	aspartate transaminase	Mutable in CDS	0.736	0.461	1	312.56		20	16.42	1218	198353	199570	-	18	0	0.92	cellular amino acid metabolic process	transaminase activity	N/A		
chr2	PF3D7_0204600	"5'-3' exonuclease, putative"	Mutable in CDS	1	-1.594	4	165.29		66	18.5	3567	200482	204048	-	18	0	4.94	N/A	N/A	apicoplast		
chr2	PF3D7_0204700	hexose transporter	Non - Mutable in CDS	0.294	-2.474	0	6.23		16	10.56	1515	205889	207403	-	17	0	0.44	"high-affinity hexose transport, response to drug"	"fructose transmembrane transporter activity, glucose transmembrane transporter activity"	integral component of plasma membrane		
chr2	PF3D7_0204800	"3'-5' exonuclease, putative"	Mutable in CDS	0.997	-2.714	1	10.38		14	11.19	1251	209583	210833	-	18	0	2.7	N/A	3'-5' exonuclease activity	N/A		
chr2	PF3D7_0204900	"ubiE/COQ5 methyltransferase, putative"	Non - Mutable in CDS	0.321	-2.529	0	2.47		11	10.33	1065	211348	212627	+	18	0	2.67	quinone biosynthetic process	quinone cofactor methyltransferase activity	mitochondrion		
chr2	PF3D7_0205000	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.036	2	88.48		14	9.17	1527	212982	214508	-	2	0	4.17	N/A	N/A	N/A		
chr2	PF3D7_0205100	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	0.742	3	291.74		21	9.92	2118	214838	217348	-	18	0	3.48	N/A	N/A	N/A		
chr2	PF3D7_0205200	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.971	3	13.2		8	13.54	591	217882	218907	-	17	0	3.67	N/A	N/A	N/A		
chr2	PF3D7_0205300	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.999	-1.296	1	42.09		19	10.26	1851	219690	222256	+	17	0	4.73	N/A	N/A	N/A		
chr2	PF3D7_0205400	"PCI domain-containing protein, putative"	Non - Mutable in CDS	0.131	-2.907	0	5.29		19	13.83	1374	223478	224851	+	18	0	2.5	N/A	N/A	N/A		
chr2	PF3D7_0205500	"DNA-directed RNA polymerase II 16 kDa subunit, putative"	Non - Mutable in CDS	0.409	-3.578	0	2.1	tentative	10	25.06	399	225562	226245	-	18	0	0	transcription from RNA polymerase II promoter	DNA-directed RNA polymerase activity	N/A		
chr2	PF3D7_0205600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.149	-3.187	0	14.81		36	18.87	1908	228025	229932	+	18	0	0.6	N/A	N/A	N/A		
chr2	PF3D7_0205700.1	"RNA-binding protein, putative"	Mutable in CDS	0.298	-3.275	1	7.96		13	21.04	618	231141	232529	+	19	1	1.67	N/A	N/A	N/A		
chr2	PF3D7_0205800	"PH domain-containing protein, putative"	Non - Mutable in CDS	0.243	-3.728	0	1.59	tentative	8	22.04	363	232729	233476	-	18	0	0	N/A	lipid binding	cytoplasm		
chr2	PF3D7_0205900	"26S proteasome regulatory subunit RPN1, putative"	Non - Mutable in CDS	0.127	-3.218	0	13.12		50	17.24	2901	235237	238816	+	18	0	0.78	ubiquitin-dependent protein catabolic process	N/A	proteasome regulatory particle		
chr2	PF3D7_0206000	"DNA repair protein RAD2, putative"	Mutable in CDS	1	-2.445	2	54.35		62	13.62	4551	239246	243796	-	19	0	2.74	"nucleotide-excision repair, DNA incision, 3'-to lesion"	single-stranded DNA endodeoxyribonuclease activity	nucleotide-excision repair factor 3 complex		
chr2	PF3D7_0206100	cysteine desulfuration protein SufE	Non - Mutable in CDS	0.272	-3.284	0	5.1		17	22.67	750	245358	246699	+	18	0	1.5	N/A	protein binding	apicoplast		
chr2	PF3D7_0206200	pantothenate transporter	Mutable in CDS	1	-2.212	2	12.76		18	10.6	1698	249030	250727	+	18	0	1.75	"cell gliding, exit from host cell, pantothenate transmembrane transport"	pantothenate transmembrane transporter activity	"microneme, osmiophilic body, plasma membrane"		
chr2	PF3D7_0206300	"pentafunctional AROM polypeptide, putative, pseudogene"	Mutable in CDS	1	-0.769	11	707.41		116	12.61	9198	252394	262440	+	21	0	3.59	N/A	N/A	N/A		
chr2	PF3D7_0206500	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.886	-2.766	1	34.56		64	14.85	4311	263034	267344	-	14	0	3.74	N/A	N/A	N/A		
chr2	PF3D7_0206600	"DNA-directed RNA polymerase III subunit RPC10, putative"	Non - Mutable in CDS	1	0	0	0	tentative	1	3.12	321	270075	270616	-	18	0	0	transcription from RNA polymerase III promoter	sequence-specific DNA binding transcription factor activity	DNA-directed RNA polymerase III complex		
chr2	PF3D7_0206700	adenylosuccinate lyase	Non - Mutable in CDS	0.121	-2.994	0	7.43		21	14.83	1416	271591	273006	+	19	0	2.2	N/A	"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity"	N/A		
chr2	PF3D7_0206800	merozoite surface protein 2	Non - Mutable in CDS	0.988	-2.005	0	6.58	tentative	5	6.11	819	273686	274504	-	2	0	35.6	N/A	N/A	"anchored component of plasma membrane, integral component of plasma membrane"		
chr2	PF3D7_0206900.1	merozoite surface protein 5	Non - Mutable in CDS	0.988	-2.098	0	0.75	tentative	5	6.11	819	275537	276491	-	13	1	1.14	N/A	N/A	N/A		
chr2	PF3D7_0207000	merozoite surface protein 4	Non - Mutable in CDS	0.251	-2.64	0	7.84		9	10.99	819	277491	278453	-	17	0	5.89	N/A	N/A	"anchored component of plasma membrane, integral component of membrane"		
chr2	PF3D7_0207100	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.608	5	67.9		72	13.75	5238	281904	287342	+	19	0	4.13	N/A	N/A	N/A		
chr2	PF3D7_0207200	"iron-sulfur assembly protein, putative"	Non - Mutable in CDS	0.195	-3.514	0	3.7	tentative	10	20.7	483	288180	288662	-	28	1	2	N/A	N/A	mitochondrion		
chr2	PF3D7_0207300	serine repeat antigen 8	Mutable in CDS	0.998	-2.593	1	16.93		22	10.78	2040	290165	292700	-	17	0	7.8	proteolysis	cysteine-type peptidase activity	N/A		
chr2	PF3D7_0207400	serine repeat antigen 7	Mutable in CDS	1	-1.186	5	124.27		34	11.97	2841	294270	297613	-	115	7	5.17	"immunoglobulin production, proteolysis, regulation of immune response"	cysteine-type peptidase activity	N/A		
chr2	PF3D7_0207500	serine repeat antigen 6	Non - Mutable in CDS	0.252	-2.761	0	11.8		34	10.98	3096	298894	302561	-	115	7	5.5	"immunoglobulin production, proteolysis, regulation of immune response"	cysteine-type peptidase activity	symbiont-containing vacuole		
chr2	PF3D7_0207600	serine repeat antigen 5	Non - Mutable in CDS	0.2	-2.737	0	12.87		35	11.69	2994	303590	307024	-	115	7	3.63	"immunoglobulin production, proteolysis, regulation of immune response"	cysteine-type peptidase activity	symbiont-containing vacuole		
chr2	PF3D7_0207700	serine repeat antigen 4	Mutable in CDS	1	0.947	2	649.66		28	9.69	2889	308844	312152	-	115	7	3.38	"immunoglobulin production, proteolysis, regulation of immune response"	cysteine-type peptidase activity	symbiont-containing vacuole		
chr2	PF3D7_0207800	serine repeat antigen 3	Mutable in CDS	1	-2.533	2	18.9		35	12.53	2793	313446	316738	-	115	7	4.25	"immunoglobulin production, proteolysis, regulation of immune response"	cysteine-type peptidase activity	N/A		
chr2	PF3D7_0207900	serine repeat antigen 2	Mutable in CDS	1	-0.99	4	124.33		37	11.15	3318	317593	321307	-	115	7	5.56	"immunoglobulin production, proteolysis, regulation of immune response"	cysteine-type peptidase activity	N/A		
chr2	PF3D7_0208000	serine repeat antigen 1	Mutable in CDS	0.98	-2.772	1	27.08		38	12.73	2985	322335	325720	-	115	7	2.22	"immunoglobulin production, proteolysis, regulation of immune response"	cysteine-type peptidase activity	N/A		
chr2	PF3D7_0208100.1	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.081	3	532.76		66	12.29	5370	327929	335200	+	21	0	4.78	N/A	N/A	N/A		
chr2	PF3D7_0208200	"KRR1 small subunit processome component, putative"	Non - Mutable in CDS	0.372	-2.666	0	4.16		9	9.97	903	335676	336578	-	18	0	3.25	"rRNA processing, ribosomal small subunit biogenesis"	N/A	"preribosome, small subunit precursor"		
chr2	PF3D7_0208300	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.122	-3.013	0	45.08		80	14.79	5409	337555	342963	+	18	0	4.05	N/A	N/A	N/A		
chr2	PF3D7_0208400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.355	3	320.81		95	15.75	6033	343305	349337	-	19	0	5.95	N/A	N/A	N/A		
chr2	PF3D7_0208500	acyl carrier protein	Non - Mutable in CDS	0.231	-3.465	0	1.36	tentative	9	21.74	414	352833	353625	+	17	0	1.33	N/A	holo-[acyl-carrier-protein] synthase activity	apicoplast		
chr2	PF3D7_0208600	ribosome-recycling factor	Non - Mutable in CDS	0.183	-2.794	0	10.29		18	12.02	1497	354618	356114	+	18	0	4.18	ribosome disassembly	N/A	apicoplast		
chr2	PF3D7_0208700.1	"conserved Plasmodium protein, unknown function, unspecified product"	Mutable in CDS	0.872	-1.746	2	39.33		14	22.54	621	356642	358011	-	20	1	1	N/A	N/A	N/A		
chr2	PF3D7_0208800	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.156	-2.83	0	3.75		9	12.71	708	359139	359846	+	19	0	1.17	N/A	N/A	apicoplast		
chr2	PF3D7_0208900	6-cysteine protein	Mutable in CDS	1	-1.524	12	280.65		101	13.42	7527	360825	368351	+	17	0	3.48	N/A	N/A	cell surface		
chr2	PF3D7_0209000	6-cysteine protein	Mutable in CDS	1	-0.851	12	628.1		137	14.56	9408	370435	379842	+	19	0	4.29	pathogenesis	protein binding	plasma membrane		
